name;kurzbezeichnung;zusatzbezeichnung;isEinzelbewerber;jahr
Christlich Demokratische Union Deutschlands;CDU;;False;2021
Sozialdemokratische Partei Deutschlands;SPD;;False;2021
Alternative für Deutschland;AfD;;False;2021
Freie Demokratische Partei;FDP;;False;2021
DIE LINKE;DIE LINKE;;False;2021
BÜNDNIS 90/DIE GRÜNEN;GRÜNE;;False;2021
Christlich-Soziale Union in Bayern e.V.;CSU;;False;2021
FREIE WÄHLER;FREIE WÄHLER;;False;2021
"Partei für Arbeit; Rechtsstaat; Tierschutz; Elitenförderung und basisdemokratische Initiative";Die PARTEI;;False;2021
PARTEI MENSCH UMWELT TIERSCHUTZ;Tierschutzpartei;;False;2021
Die Heimat (2021: Nationaldemokratische Partei Deutschlands);HEIMAT (2021: NPD);;False;2021
Piratenpartei Deutschland;PIRATEN;;False;2021
Ökologisch-Demokratische Partei;ÖDP;;False;2021
"V-Partei³ - Partei für Veränderung; Vegetarier und Veganer";V-Partei³;;False;2021
DEMOKRATIE IN BEWEGUNG;DiB;;False;2021
Bayernpartei;BP;;False;2021
"Allianz für Menschenrechte; Tier- und Naturschutz";Tierschutzallianz;;False;2021
Marxistisch-Leninistische Partei Deutschlands;MLPD;;False;2021
Partei für schulmedizinische Verjüngungsforschung (2021: Partei für Gesundheitsforschung);Verjüngungsforschung (2021: Gesundheitsforschung);;False;2021
Menschliche Welt - für das Wohl und Glücklichsein aller;MENSCHLICHE WELT;;False;2021
Deutsche Kommunistische Partei;DKP;;False;2021
Die Grauen – Für alle Generationen;Die Grauen;;False;2021
Bürgerrechtsbewegung Solidarität;BüSo;;False;2021
Partei der Humanisten;Die Humanisten;;False;2021
Gartenpartei;Gartenpartei;;False;2021
Die Urbane. Eine HipHop Partei;du.;;False;2021
"Sozialistische Gleichheitspartei; Vierte Internationale";SGP;;False;2021
Basisdemokratische Partei Deutschland;dieBasis;;False;2021
Bündnis C - Christen für Deutschland;Bündnis C;;False;2021
Bürgerbewegung für Fortschritt und Wandel;BÜRGERBEWEGUNG;;False;2021
DER DRITTE WEG;III. Weg;;False;2021
diePinken/BÜNDNIS21;BÜNDNIS21;;False;2021
Europäische Partei LIEBE;LIEBE;;False;2021
Wir Bürger (2021: Liberal-Konservative Reformer);Wir Bürger (2021: LKR);;False;2021
Partei des Fortschritts;PdF;;False;2021
">> Partei für Kinder; Jugendliche und Familien <<  – Lobbyisten für Kinder –";LfK;;False;2021
Südschleswigscher Wählerverband;SSW;;False;2021
Team Todenhöfer – Die Gerechtigkeitspartei;Team Todenhöfer;;False;2021
UNABHÄNGIGE für bürgernahe Demokratie;UNABHÄNGIGE;;False;2021
Volt Deutschland;Volt;;False;2021
Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;Volksabstimmung;;False;2021
"bergpartei; die überpartei - ökoanarchistisch-realdadaistisches sammelbecken";B*;;False;2021
DIE SONSTIGEN - X;sonstige;;False;2021
Familien-Partei Deutschlands;FAMILIE;;False;2021
Graue Panther;Graue Panther;;False;2021
Klimaliste Baden-Württemberg;KlimalisteBW;;False;2021
Thüringer Heimatpartei;THP;;False;2021
ADONIS;EB: Böving;;True;2021
AKB;EB: Kunstmann;;True;2021
Aktion Bürger für Gerechtigkeit;EB: Hemm;;True;2021
Aktion Bürger für Gerechtigkeit;EB: Dorn;;True;2021
Aktion Bürger für Gerechtigkeit;EB: Kolb;;True;2021
Alle in EU;EB: Martinschledde;;True;2021
Andere Perspektiven;EB: Jagau;;True;2021
Angela and I are here to create ...;EB: Kalupner;;True;2021
Artgerecht;EB: Podjaski;;True;2021
ASMUSfddB;EB: Asmus;;True;2021
AufrechterDemokrat;EB: Oschkinat;;True;2021
AusUnsrerMitte;EB: Hackel;;True;2021
Bedingungsloses Grundeinkommen;EB: Sonnabend;;True;2021
Bernd Nebeler;EB: Nebeler;;True;2021
BibiellaBTW;EB: Bibiella;;True;2021
BIBS;EB: Rosenbaum;;True;2021
Bilo - für Mülheim nach Berlin;EB: Bilo;;True;2021
Bobby;EB: Gabler;;True;2021
Brähmig;EB: Brähmig;;True;2021
BRD braucht Brehm;EB: Brehm;;True;2021
Bürger bewirbt sich als freier Direktkandidat;EB: Hitzer;;True;2021
Bürgerstimme;EB: Wetklo;;True;2021
CSB Carsten Schlossbauer;EB: Schlossbauer;;True;2021
Daniel Richter;EB: Richter;;True;2021
David Gibanica;EB: Gibanica;;True;2021
Deas;EB: Roensch;;True;2021
Demir;EB: Demir;;True;2021
DEMOKRATIE FAIR UND DIREKT;EB: Wolter;;True;2021
Demokratie verteidigen;EB: Commentz;;True;2021
Deutschland ist Önders;EB: Dönmez;;True;2021
Die Zukunft am Start;EB: Fritsch;;True;2021
Direkt – bürgerschaftlich – unabhängig;EB: Voß;;True;2021
Direktkandidat Daniel Zimmet;EB: Zimmet;;True;2021
Direktkandidat Frank Hannig;EB: Hannig;;True;2021
Direktkandidat Ralf Kaun;EB: Kaun;;True;2021
DK Schöllner;EB: Schöllner;;True;2021
DUD;EB: Gust;;True;2021
DU1;EB: Opfer;;True;2021
EB Zimmermann;EB: Zimmermann;;True;2021
Ediz Sirin;EB: Sirin;;True;2021
Ehrensache;EB: Kramer;;True;2021
ehrliche Politik / Transparenz;EB: Glamann;;True;2021
EINFACH MACHEN;EB: Roloff;;True;2021
Ein Leipziger für Leipzig;EB: Härtlein;;True;2021
Einzelbewerber Englisch;EB: Englisch;;True;2021
Einzelbewerber Rohne;EB: Rohne;;True;2021
Einzelbewerber Rüdiger Gums Parteilos;EB: Gums;;True;2021
Einzelbewerber Wieczorek;EB: Wieczorek;;True;2021
Einzelkandidat Schlüter;EB: Schlüter;;True;2021
Eppel;EB: Eppel;;True;2021
Ergin;EB: Ergin;;True;2021
erneuerung-klima.de;EB: Pape;;True;2021
Erststimme fürs Klima;#KLIMAfirst;;True;2021
Eure Stimme von Morgen;EB: Hofmann;;True;2021
Freiheit jetzt! - Michael Kaiser;EB: Kaiser;;True;2021
FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;EB: Miller;;True;2021
Frieden;EB: Neumann;;True;2021
"FriGGa Wendt; Grundeinkommen-für-alle.org";EB: Wendt;;True;2021
Für die Altmark nach Berlin;EB: Janowski;;True;2021
für mehr Bürgerbeteiligung;EB: Conrad;;True;2021
Gebhard Berger;EB: Berger;;True;2021
Gemeinsam sind Wir MehrWert!;EB: Grammbitter;;True;2021
Gesicht zeigen;EB: Buro;;True;2021
Goldi;EB: Goldbeck;;True;2021
Heidi Mund;EB: Mund;;True;2021
Ihre parteilose Direktstimme im Bundestag für Mitbestimmung;EB: Müller;;True;2021
Internationalistische Liste;EB: Herbert;;True;2021
Internationalistische Liste;EB: Harting;;True;2021
Internationalistische Liste;EB: Göller;;True;2021
Internationalistische Liste;EB: Meister;;True;2021
Internationalistische Liste;EB: Rapps;;True;2021
Internationalistische Liste;EB: Baydar;;True;2021
Internationalistische Liste;EB: Dumberger;;True;2021
Internationalistische Liste;EB: Barth;;True;2021
Internationalistisches Bündnis;EB: Zajonc;;True;2021
Internationalistisches Bündnis;EB: Schäuble-Leopold;;True;2021
Internationalistisches Bündnis;EB: Lenz;;True;2021
Internationalistisches Bündnis;EB: Stein;;True;2021
Internationalistisches Bündnis;EB: Krajak;;True;2021
Internationalistisches Bündnis;EB: Schmidt;;True;2021
Internationalistisches Bündnis;EB: Schwang;;True;2021
Internationalistisches Bündnis;EB: Grütte;;True;2021
Internationalistisches Bündnis;EB: Kunick;;True;2021
Internationalistisches Bündnis;EB: Kober;;True;2021
Internationalistisches Bündnis;EB: Janda;;True;2021
Internationalistisches Bündnis;EB: Meyer;;True;2021
Internationalistisches Bündnis;EB: Schmidt;;True;2021
Internationalistisches Bündnis;EB: Blickle;;True;2021
Internationalistisches Bündnis;EB: Herrlinger;;True;2021
Internationalistisches Bündnis;EB: Bartholomé;;True;2021
Internationalistisches Bündnis;EB: Weidemann;;True;2021
Internationalistisches Bündnis;EB: Schlüter;;True;2021
Internationalistisches Bündnis;EB: Herzig;;True;2021
Internationalistisches Bündnis;EB: Balzer;;True;2021
Internationalistisches-Bündnis;EB: Deutsch;;True;2021
Internationalistisches Bündnis;EB: Marinello;;True;2021
Internationalistisches Bündnis;EB: Kunick;;True;2021
Internationalistisches Bündnis;EB: Georgiou;;True;2021
Internationalistisches Bündnis;EB: Großkopf;;True;2021
Ischgl;EB: Gerisch;;True;2021
Jugend-Narrativ;EB: Richter;;True;2021
KARLKOMMT;EB: Hummitzsch;;True;2021
Keine CO2-Steuer. WIEDERHERSTELLUNG unserer Grundrechte!;EB: Bauer;;True;2021
Kerkhoff;EB: Kerkhoff;;True;2021
KLIMAgerechtigkeitsLISTE;EB: Baumanns;;True;2021
Klimaliste;EB: Blum;;True;2021
Klimaliste;EB: Mobasheri;;True;2021
Klimaliste;EB: Pohl;;True;2021
Klimaliste;EB: Henig;;True;2021
Klimaliste;EB: Vollmer;;True;2021
Klimaliste;EB: Sayn;;True;2021
Klimaliste;EB: Hoppe;;True;2021
Klimaliste;EB: Hofmann;;True;2021
Klimaliste;EB: Wittner;;True;2021
Klimaliste;EB: Schöne;;True;2021
Klimaliste;EB: Seiffert;;True;2021
Klimaliste Darmstadt-Dieburg;EB: Stachowiak;;True;2021
Klimaliste für Collective Care und Inklusion;EB: Mandel;;True;2021
Klimaschutz;EB: Wiesenthal;;True;2021
"Lauer; Marius Wolfgang";EB: Lauer;;True;2021
LENZ;EB: Lenz;;True;2021
MACH;EB: Löhnert;;True;2021
Malkampf für das Klima;EB: Friedl;;True;2021
Manz;EB: Manz;;True;2021
Marburger Pogo-Anarchisten;EB: Carstensen;;True;2021
Marcus Fuchs - Querdenken 351;EB: Fuchs;;True;2021
Marko Bieling;EB: Bieling;;True;2021
Markus Erdmann - Klimaliste;EB: Erdmann;;True;2021
Mascher;EB: Mascher;;True;2021
Mehr Vernunft;EB: Sommerfeldt;;True;2021
Mieterinitiativen;EB: Lindlmair;;True;2021
Mit Sachverstand die Zukunft gestalten;EB: Heil;;True;2021
Münsterliste - bunt und international e.V.;EB: Geselbracht;;True;2021
Neue Wege;EB: Klement;;True;2021
Nicht Ich. Wir.;EB: Novotny;;True;2021
Nie wieder sinnlose Lockdowns!;EB: Tolzin;;True;2021
ODIN;EB: Janoske-Kizildag;;True;2021
OpaBraveheart;EB: Hönig;;True;2021
Paletten;EB: Klimczak;;True;2021
parteienunabhängig;EB: Löwe;;True;2021
Parteifreier Direktkandidat WK 226;EB: Ryssel;;True;2021
#parteifrei #Gemeinsam gewinnen! #Gemeinsam verändern! Einfach mal anders: Erststimme Dippel!;EB: Dippel;;True;2021
Parteifrei in den Bundestag;EB: Snelinski;;True;2021
"Parteifrei; unabhängig und transparent. Für eine direktere Demokratie ohne Fraktionszwang und eine Amtszeitbeschränkung.";EB: Moser;;True;2021
Parteilos;EB: Charnow;;True;2021
Parteilos;EB: Lorenz;;True;2021
Parteilos;EB: Koccu;;True;2021
Parteilos Dr. Moritz;EB: Moritz;;True;2021
parteilose Direktkandidatin Marquardt;EB: Marquardt;;True;2021
PARTEILOS - FÜR MEHR DIREKTE DEMOKRATIE;EB: Schlippenbach;;True;2021
Peiler;EB: Peiler;;True;2021
Pettenkofer;EB: Pettenkofer;;True;2021
Politik durch Bodenständigkeit und Bürgerbeteiligung;EB: Bechtel;;True;2021
Politisch mitwirken für alle;EB: Klopstock;;True;2021
Poss4SB;EB: Poss;;True;2021
Prof. Dr. med. Udo Schlot;EB: Schlot;;True;2021
QUECK;EB: Queck;;True;2021
REHBEIN;EB: Rehbein;;True;2021
REICHEL;EB: Reichel;;True;2021
"RESIST! FRIEDLICHE ÖKOLINKSLIBERALE DEMOKRATISCHE REVOLUTION. FREIHEITEN; DEMOKRATIE; WOHLSTAND; GESUNDHEIT FÜR ALLE! BULTHEEL WÄHLEN!";ÖLDP;;True;2021
Röhder;EB: Röhder;;True;2021
Saygili;EB: Saygili;;True;2021
Schmitt Wiesloch;EB: Schmitt;;True;2021
Seelenwärmer;EB: Przybylski;;True;2021
Sören Krüger;EB: Krüger;;True;2021
"Stimme für Freiheitlichkeit; Bürgerlichkeit und menschliche Identität";EB: Kaldewei;;True;2021
Stimme gegen Fraktionszwang;EB: Knott;;True;2021
Südpfalz - stellt Fragen!;EB: Vogler;;True;2021
Teßmann;EB: Teßmann;;True;2021
"Transparent; Nah am Bürger; Treu den Wählern";TNT;;True;2021
Unabhängiger Direktkandidat / Nikolaus Gradl;EB: Gradl;;True;2021
Unabhängig! Für Dich. Für Uns. Für Alle.;#TeamFranka;;True;2021
Unabhängig und FREI;EB: Herrmann;;True;2021
UN-Menschenrecht auf Frieden;EB: Wassenaar;;True;2021
UNO - Menschenrecht - FRIEDEN für Alle;EB: Häupl;;True;2021
Unparteilich;EB: Schürer;;True;2021
"Unsere Zukunftsperspektive für Digitalisierung; Bildung und Umwelt";EB: Trojanowski;;True;2021
Vereinigte Direktkandidaten;EB: Hilz;;True;2021
Vereinigte Direktkandidaten;EB: Langhans;;True;2021
Volk ins Parlament - VIP;EB: Ressdorf;;True;2021
Wadenbeißer;EB: Ringger;;True;2021
Wahlrechtsreform;EB: Krämer;;True;2021
Weich - parteilos;EB: Weich;;True;2021
Werner Hartmann;EB: Hartmann;;True;2021
Wir - alle gemeinsam;EB: Müller;;True;2021
Wir! Gemeinsam stark;EB: Tropp;;True;2021
Wir haben eine Welt zu verlieren;EB: El-Fayoumy;;True;2021
"Wirklich besser regieren; für unser Land und für unsere Zukunft.";EB: Eckelmann;;True;2021
WIR sind LEIPZIGER;EB: Kohl;;True;2021
Wirtschaftlich-Ökologisch-Familienfreundlich;EB: Schütz;;True;2021
Wotan Engels;EB: Engels;;True;2021
www.weltrettung-durch-therapie.de;EB: Fielsch;;True;2021
www.zeitkaufhaus.de Martin Bayer;EB: Bayer;;True;2021
"Zebian; Ayman";EB: Zebian;;True;2021
Zeitgemäße Demokratie mit Politik auf Augenhöhe;EB: Lembach;;True;2021
Zeit zählt!;EB: Bunte;;True;2021
ZUKUNFT;EB: Hinners;;True;2021
Übrige;Übrige;;False;2021
