Wahlkreis_Nr;Population;year
1;282.8;2017
2;232.3;2017
3;220.8;2017
4;248.7;2017
5;268;2017
6;219.8;2017
7;307.5;2017
8;313.2;2017
9;219.3;2017
10;311.1;2017
11;235.3;2017
12;270.9;2017
13;248.8;2017
14;271.6;2017
15;292.3;2017
16;273.3;2017
17;255.6;2017
18;350.1;2017
19;260.3;2017
20;252.9;2017
21;279.8;2017
22;314.7;2017
23;329.5;2017
24;239.9;2017
25;314.5;2017
26;231.1;2017
27;285.3;2017
28;294.2;2017
29;234.7;2017
30;252;2017
31;308.2;2017
32;302.6;2017
33;244.7;2017
34;248.2;2017
35;214.9;2017
36;248.1;2017
37;230.8;2017
38;265.6;2017
39;254.9;2017
40;246.1;2017
41;257.3;2017
42;274.9;2017
43;303;2017
44;271.1;2017
45;280.1;2017
46;237.5;2017
47;309.3;2017
48;277.1;2017
49;265.2;2017
50;251.4;2017
51;241.9;2017
52;255.2;2017
53;286.8;2017
54;352.6;2017
55;318.8;2017
56;209.5;2017
57;219.9;2017
58;295.8;2017
59;269.3;2017
60;220.3;2017
61;310.5;2017
62;300.9;2017
63;240.5;2017
64;217.3;2017
65;200.9;2017
66;201.4;2017
67;265.2;2017
68;257.4;2017
69;292.4;2017
70;211.4;2017
71;268.8;2017
72;270.4;2017
73;231.8;2017
74;246.7;2017
75;354.3;2017
76;314;2017
77;252.1;2017
78;262.4;2017
79;286.5;2017
80;277.7;2017
81;333.7;2017
82;318.7;2017
83;339.8;2017
84;251.2;2017
85;256.3;2017
86;273.3;2017
87;245.9;2017
88;308;2017
89;252.5;2017
90;262.8;2017
91;336.1;2017
92;321.7;2017
93;291.4;2017
94;316.9;2017
95;304.5;2017
96;318.8;2017
97;312.8;2017
98;283.4;2017
99;273.5;2017
100;282.7;2017
101;311.3;2017
102;308.6;2017
103;309.6;2017
104;266.9;2017
105;216.4;2017
106;324;2017
107;288.2;2017
108;295.7;2017
109;260;2017
110;269.4;2017
111;297.7;2017
112;310.3;2017
113;263.5;2017
114;241.8;2017
115;243;2017
116;248.2;2017
117;278.4;2017
118;252.4;2017
119;246.2;2017
120;253.3;2017
121;217.9;2017
122;249;2017
123;260.4;2017
124;272.2;2017
125;268;2017
126;260.3;2017
127;244.8;2017
128;254.1;2017
129;310;2017
130;277.4;2017
131;322.1;2017
132;344.5;2017
133;301.1;2017
134;264.1;2017
135;221.4;2017
136;273.4;2017
137;331.4;2017
138;287.6;2017
139;227.4;2017
140;276.2;2017
141;244.4;2017
142;283.8;2017
143;302.4;2017
144;253.6;2017
145;321.8;2017
146;303;2017
147;263.8;2017
148;280.8;2017
149;280.6;2017
150;272;2017
151;197.6;2017
152;275.2;2017
153;285.2;2017
154;258.4;2017
155;245.2;2017
156;259.3;2017
157;260;2017
158;247.4;2017
159;294.4;2017
160;296.4;2017
161;246.8;2017
162;248.6;2017
163;219.2;2017
164;267.5;2017
165;251.1;2017
166;232.3;2017
167;235;2017
168;299.3;2017
169;221.9;2017
170;237.4;2017
171;245.2;2017
172;275.4;2017
173;286.5;2017
174;271;2017
175;232.2;2017
176;250.3;2017
177;237.7;2017
178;294;2017
179;276.2;2017
180;254.2;2017
181;278;2017
182;365.1;2017
183;367.6;2017
184;266;2017
185;355.2;2017
186;341.8;2017
187;319.2;2017
188;266.9;2017
189;263.8;2017
190;273.3;2017
191;255.8;2017
192;246.5;2017
193;280.7;2017
194;289.5;2017
195;278.4;2017
196;282.7;2017
197;309.8;2017
198;246.4;2017
199;257.2;2017
200;219.5;2017
201;237.4;2017
202;215.2;2017
203;262.9;2017
204;272.6;2017
205;343.9;2017
206;284.1;2017
207;314.6;2017
208;285.5;2017
209;296.8;2017
210;223.8;2017
211;283.2;2017
212;220.5;2017
213;271.2;2017
214;326;2017
215;323.5;2017
216;327.3;2017
217;368.1;2017
218;377.4;2017
219;334.8;2017
220;370;2017
221;340;2017
222;317.9;2017
223;223.2;2017
224;290.7;2017
225;278.1;2017
226;220.3;2017
227;208.4;2017
228;336.1;2017
229;225.2;2017
230;220;2017
231;222.4;2017
232;275.8;2017
233;334.9;2017
234;271.2;2017
235;210.4;2017
236;234.3;2017
237;204.5;2017
238;198.7;2017
239;211.4;2017
240;210.5;2017
241;315.8;2017
242;242.5;2017
243;337.2;2017
244;285.3;2017
245;265.1;2017
246;292.8;2017
247;242.7;2017
248;267.4;2017
249;254.6;2017
250;256.1;2017
251;285.3;2017
252;314.1;2017
253;324.8;2017
254;249.8;2017
255;328;2017
256;300;2017
257;329.2;2017
258;304.3;2017
259;319.5;2017
260;358.7;2017
261;245.9;2017
262;293.3;2017
263;252.7;2017
264;317.4;2017
265;324.7;2017
266;322.1;2017
267;351.7;2017
268;301.8;2017
269;241.5;2017
270;303.8;2017
271;307.8;2017
272;281.1;2017
273;281.6;2017
274;317.1;2017
275;305.8;2017
276;275.1;2017
277;268.9;2017
278;266.8;2017
279;318.3;2017
280;271.6;2017
281;313.8;2017
282;318.7;2017
283;289.2;2017
284;272.3;2017
285;274.1;2017
286;230.3;2017
287;280.3;2017
288;245.8;2017
289;282.1;2017
290;270.9;2017
291;314.7;2017
292;222.8;2017
293;233.3;2017
294;250.5;2017
295;249.1;2017
296;269.8;2017
297;265.5;2017
298;216.7;2017
299;243.7;2017