kurzbezeichnung;wahlkreis_id;GruppennameLang
CDU;1;Christlich Demokratische Union Deutschlands
SPD;1;Sozialdemokratische Partei Deutschlands
FDP;1;Freie Demokratische Partei
GRÜNE;1;BÜNDNIS 90/DIE GRÜNEN
AfD;1;Alternative für Deutschland
DIE LINKE;1;DIE LINKE
FREIE WÄHLER;1;FREIE WÄHLER
dieBasis;1;Basisdemokratische Partei Deutschland
du.;1;Die Urbane. Eine HipHop Partei
LKR;1;Liberal-Konservative Reformer
SSW;1;Südschleswigscher Wählerverband
V-Partei³;3;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
Die PARTEI;4;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
MLPD;5;Marxistisch-Leninistische Partei Deutschlands
DKP;5;Deutsche Kommunistische Partei
Volt;5;Volt Deutschland
EB: Schlüter;9;Einzelkandidat Schlüter
EB: Kerkhoff;11;Kerkhoff
PIRATEN;12;Piratenpartei Deutschland
EB: Löwe;13;parteienunabhängig
Tierschutzpartei;14;PARTEI MENSCH UMWELT TIERSCHUTZ
EB: Krüger;16;Sören Krüger
UNABHÄNGIGE;16;UNABHÄNGIGE für bürgernahe Demokratie
ÖDP;18;Ökologisch-Demokratische Partei
NPD;18;Nationaldemokratische Partei Deutschlands
EB: Janoske-Kizildag;18;ODIN
ÖLDP;19;RESIST! FRIEDLICHE ÖKOLINKSLIBERALE DEMOKRATISCHE REVOLUTION. FREIHEITEN, DEMOKRATIE, WOHLSTAND, GESUNDHEIT FÜR ALLE! BULTHEEL WÄHLEN!
EB: Lenz;24;Internationalistisches Bündnis
EB: Balzer;25;Internationalistisches Bündnis
EB: Gums;33;Einzelbewerber Rüdiger Gums Parteilos
EB: Großkopf;37;Internationalistisches Bündnis
EB: Weich;40;Weich - parteilos
Die Humanisten;42;Partei der Humanisten
EB: Kober;43;Internationalistisches Bündnis
EB: Schlüter;44;Internationalistisches Bündnis
EB: Neumann;45;Frieden
EB: Kunick;45;Internationalistisches Bündnis
EB: Göller;47;Internationalistische Liste
EB: Wieczorek;48;Einzelbewerber Wieczorek
EB: Herzig;48;Internationalistisches Bündnis
EB: Jagau;49;Andere Perspektiven
EB: Deutsch;49;Internationalistisches-Bündnis
EB: Rosenbaum;50;BIBS
EB: Wolter;50;DEMOKRATIE FAIR UND DIREKT
EB: Gust;50;DUD
EB: Kunick;51;Internationalistisches Bündnis
EB: Wiesenthal;51;Klimaschutz
EB: Hönig;51;OpaBraveheart
EB: Schäuble-Leopold;52;Internationalistisches Bündnis
EB: Glamann;56;ehrliche Politik / Transparenz
EB: Eckelmann;56;Wirklich besser regieren, für unser Land und für unsere Zukunft.
EB: Buro;57;Gesicht zeigen
EB: Schlippenbach;57;PARTEILOS - FÜR MEHR DIREKTE DEMOKRATIE
EB: Lorenz;59;Parteilos
EB: Schütz;59;Wirtschaftlich-Ökologisch-Familienfreundlich
EB: Conrad;60;für mehr Bürgerbeteiligung
EB: Hinners;60;ZUKUNFT
EB: Roloff;61;EINFACH MACHEN
EB: Müller;61;Ihre parteilose Direktstimme im Bundestag für Mitbestimmung
EB: Grütte;61;Internationalistisches Bündnis
EB: Charnow;61;Parteilos
EB: Gabler;62;Bobby
EB: Hitzer;62;Bürger bewirbt sich als freier Direktkandidat
EB: Commentz;62;Demokratie verteidigen
FAMILIE;62;Familien-Partei Deutschlands
EB: Kaun;63;Direktkandidat Ralf Kaun
EB: Marquardt;63;parteilose Direktkandidatin Marquardt
EB: Janda;65;Internationalistisches Bündnis
EB: Bibiella;66;BibiellaBTW
EB: Janowski;66;Für die Altmark nach Berlin
Tierschutzallianz;67;Allianz für Menschenrechte, Tier- und Naturschutz
EB: Barth;68;Internationalistische Liste
Gartenpartei;69;Gartenpartei
#TeamFranka;69;Unabhängig! Für Dich. Für Uns. Für Alle.
EB: Rohne;70;Einzelbewerber Rohne
EB: Wassenaar;70;UN-Menschenrecht auf Frieden
EB: Zimmermann;71;EB Zimmermann
EB: Fielsch;75;www.weltrettung-durch-therapie.de
EB: Zebian;75;Zebian, Ayman
Gesundheitsforschung;76;Partei für Gesundheitsforschung
Die Grauen;77;Die Grauen – Für alle Generationen
BÜNDNIS21;78;diePinken/BÜNDNIS21
EB: Bunte;78;Zeit zählt!
EB: Voß;80;Direkt – bürgerschaftlich – unabhängig
MENSCHLICHE WELT;81;Menschliche Welt - für das Wohl und Glücklichsein aller
Team Todenhöfer;82;Team Todenhöfer – Die Gerechtigkeitspartei
sonstige;82;DIE SONSTIGEN - X
EB: Pape;82;erneuerung-klima.de
EB: Lindlmair;82;Mieterinitiativen
EB: Moser;82;Parteifrei, unabhängig und transparent. Für eine direktere Demokratie ohne Fraktionszwang und eine Amtszeitbeschränkung.
B*;83;bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken
EB: Wendt;83;FriGGa Wendt, Grundeinkommen-für-alle.org
EB: Snelinski;83;Parteifrei in den Bundestag
EB: Böving;87;ADONIS
EB: Teßmann;87;Teßmann
LIEBE;91;Europäische Partei LIEBE
EB: Przybylski;93;Seelenwärmer
EB: Podjaski;95;Artgerecht
EB: Goldbeck;95;Goldi
Volksabstimmung;97;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen
EB: Blum;101;Klimaliste
EB: Kramer;103;Ehrensache
EB: Klimczak;104;Paletten
EB: Herrmann;104;Unabhängig und FREI
Bündnis C;105;Bündnis C - Christen für Deutschland
EB: Richter;105;Jugend-Narrativ
EB: Baumanns;106;KLIMAgerechtigkeitsLISTE
EB: Herbert;108;Internationalistische Liste
EB: Opfer;115;DU1
EB: Ergin;115;Ergin
EB: Lenz;116;LENZ
EB: Saygili;116;Saygili
EB: Bilo;118;Bilo - für Mülheim nach Berlin
EB: Wetklo;123;Bürgerstimme
EB: Georgiou;128;Internationalistisches Bündnis
EB: Kaldewei;128;Stimme für Freiheitlichkeit, Bürgerlichkeit und menschliche Identität
EB: Dumberger;129;Internationalistische Liste
EB: Geselbracht;129;Münsterliste - bunt und international e.V.
EB: Brehm;130;BRD braucht Brehm
EB: Martinschledde;131;Alle in EU
EB: Zajonc;131;Internationalistisches Bündnis
EB: Sonnabend;133;Bedingungsloses Grundeinkommen
EB: Tropp;138;Wir! Gemeinsam stark
EB: Hofmann;142;Eure Stimme von Morgen
EB: Trojanowski;142;Unsere Zukunftsperspektive für Digitalisierung, Bildung und Umwelt
EB: Peiler;144;Peiler
EB: Meister;148;Internationalistische Liste
EB: Asmus;151;ASMUSfddB
EB: Oschkinat;151;AufrechterDemokrat
EB: Härtlein;152;Ein Leipziger für Leipzig
EB: Hummitzsch;152;KARLKOMMT
EB: Kohl;152;WIR sind LEIPZIGER
EB: Bayer;152;www.zeitkaufhaus.de Martin Bayer
EB: Schöllner;153;DK Schöllner
EB: Zimmet;154;Direktkandidat Daniel Zimmet
EB: Blickle;157;Internationalistisches Bündnis
EB: Brähmig;158;Brähmig
EB: Queck;158;QUECK
EB: Fuchs;159;Marcus Fuchs - Querdenken 351
EB: Häupl;159;UNO - Menschenrecht - FRIEDEN für Alle
BüSo;160;Bürgerrechtsbewegung Solidarität
EB: Hannig;160;Direktkandidat Frank Hannig
#KLIMAfirst;160;Erststimme fürs Klima
EB: Richter;162;Daniel Richter
EB: Weidemann;162;Internationalistisches Bündnis
EB: Röhder;162;Röhder
EB: Reichel;164;REICHEL
EB: Krajak;165;Internationalistisches Bündnis
III. Weg;166;DER DRITTE WEG
EB: Gerisch;166;Ischgl
EB: Meyer;167;Internationalistisches Bündnis
EB: Müller;167;Wir - alle gemeinsam
EB: Mascher;168;Mascher
EB: El-Fayoumy;168;Wir haben eine Welt zu verlieren
EB: Schmidt;169;Internationalistisches Bündnis
EB: Klement;170;Neue Wege
EB: Marinello;171;Internationalistisches Bündnis
EB: Carstensen;171;Marburger Pogo-Anarchisten
TNT;172;Transparent, Nah am Bürger, Treu den Wählern
EB: Hemm;174;Aktion Bürger für Gerechtigkeit
EB: Schlossbauer;178;CSB Carsten Schlossbauer
EB: Rehbein;180;REHBEIN
EB: Stachowiak;186;Klimaliste Darmstadt-Dieburg
EB: Stein;187;Internationalistisches Bündnis
EB: Grammbitter;188;Gemeinsam sind Wir MehrWert!
Graue Panther;192;Graue Panther
THP;192;Thüringer Heimatpartei
EB: Nebeler;194;Bernd Nebeler
EB: Berger;194;Gebhard Berger
EB: Bieling;196;Marko Bieling
EB: Erdmann;197;Markus Erdmann - Klimaliste
EB: Mandel;198;Klimaliste für Collective Care und Inklusion
EB: Sayn;199;Klimaliste
EB: Krämer;200;Wahlrechtsreform
EB: Vollmer;201;Klimaliste
EB: Bartholomé;203;Internationalistisches Bündnis
EB: Moritz;203;Parteilos Dr. Moritz
EB: Engels;204;Wotan Engels
EB: Seiffert;205;Klimaliste
EB: Heil;205;Mit Sachverstand die Zukunft gestalten
EB: Pohl;206;Klimaliste
EB: Hackel;207;AusUnsrerMitte
EB: Schöne;207;Klimaliste
EB: Bechtel;207;Politik durch Bodenständigkeit und Bürgerbeteiligung
EB: Wittner;208;Klimaliste
EB: Schwang;209;Internationalistisches Bündnis
EB: Hoppe;209;Klimaliste
EB: Lauer;209;Lauer, Marius Wolfgang
EB: Hofmann;210;Klimaliste
EB: Mobasheri;211;Klimaliste
EB: Koccu;211;Parteilos
EB: Vogler;211;Südpfalz - stellt Fragen!
CSU;212;Christlich-Soziale Union in Bayern e.V.
BP;212;Bayernpartei
EB: Hilz;217;Vereinigte Direktkandidaten
EB: Klopstock;218;Politisch mitwirken für alle
EB: Dönmez;220;Deutschland ist Önders
EB: Sommerfeldt;220;Mehr Vernunft
EB: Englisch;225;Einzelbewerber Englisch
EB: Ryssel;226;Parteifreier Direktkandidat WK 226
EB: Manz;228;Manz
EB: Pettenkofer;228;Pettenkofer
EB: Knott;231;Stimme gegen Fraktionszwang
EB: Gradl;232;Unabhängiger Direktkandidat / Nikolaus Gradl
EB: Friedl;233;Malkampf für das Klima
EB: Bauer;235;Keine CO2-Steuer. WIEDERHERSTELLUNG unserer Grundrechte!
EB: Dippel;235;#parteifrei #Gemeinsam gewinnen! #Gemeinsam verändern! Einfach mal anders: Erststimme Dippel!
EB: Roensch;236;Deas
EB: Löhnert;239;MACH
EB: Kunstmann;242;AKB
EB: Kalupner;242;Angela and I are here to create ...
EB: Henig;242;Klimaliste
EB: Eppel;244;Eppel
EB: Schlot;246;Prof. Dr. med. Udo Schlot
EB: Lembach;247;Zeitgemäße Demokratie mit Politik auf Augenhöhe
EB: Kaiser;248;Freiheit jetzt! - Michael Kaiser
EB: Schürer;251;Unparteilich
EB: Kolb;252;Aktion Bürger für Gerechtigkeit
EB: Sirin;252;Ediz Sirin
EB: Baydar;253;Internationalistische Liste
EB: Langhans;255;Vereinigte Direktkandidaten
EB: Dorn;256;Aktion Bürger für Gerechtigkeit
DiB;258;DEMOKRATIE IN BEWEGUNG
BÜRGERBEWEGUNG;258;Bürgerbewegung für Fortschritt und Wandel
EB: Ressdorf;258;Volk ins Parlament - VIP
EB: Demir;259;Demir
EB: Miller;260;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah
EB: Tolzin;260;Nie wieder sinnlose Lockdowns!
EB: Gibanica;265;David Gibanica
EB: Novotny;265;Nicht Ich. Wir.
EB: Hartmann;266;Werner Hartmann
KlimalisteBW;271;Klimaliste Baden-Württemberg
EB: Mund;272;Heidi Mund
EB: Rapps;273;Internationalistische Liste
EB: Schmitt;277;Schmitt Wiesloch
EB: Fritsch;278;Die Zukunft am Start
EB: Herrlinger;279;Internationalistisches Bündnis
EB: Harting;287;Internationalistische Liste
EB: Ringger;287;Wadenbeißer
EB: Schmidt;293;Internationalistisches Bündnis
EB: Poss;296;Poss4SB
SGP;5;Sozialistische Gleichheitspartei, Vierte Internationale
PdF;5;Partei des Fortschritts
LfK;5;>> Partei für Kinder, Jugendliche und Familien <<  – Lobbyisten für Kinder –
